LOG_CLint_HLM,LOG_CLint_RLM,LOG_CLint_MLM
1.545307116465824,1.8887409606828929,2.084093460228235
1.8846254632562345,1.8346114207226871,2.0791812460476247
1.6196358597190368,1.7085908451503438,1.649636617730435
1.2219355998280053,1.6989700043360187,2.834630487821257
1.45020290432103,1.7956019798941798,1.878289075401736
3.475236676550412,3.752063820803349,4.060487817637995
1.4661258704181992,1.6532125137753435,2.532251019012581
1.9712758487381048,1.6532125137753435,1.972943008105568
1.7213983755215052,1.5976951859255124,2.291701770729981
1.5958157626175005,1.8659326681931856,2.7830634645642536
0.7145895879692312,1.1967839377377092,1.9747488089688303
0.8463371121298052,1.9712758487381048,1.7688230254496435
1.0681858617461617,1.577491799837225,2.282927846422476
1.1473671077937864,1.7466341989375789,1.5927317663939622
3.913283901760418,4.1003705451175625,4.437829806408219
0.7201593034059569,1.1760912590556811,0.9454685851318196
-0.3297541469258759,-0.0545314148681802,0.4500642628252306
3.0479248487166863,3.146128035678238,3.544068044350276
0.5866998016240491,1.2966651902615312,2.2055156231136976
2.590507462008583,3.6905203503270783,3.2359120725470434
1.2227164711475833,1.383815365980431,1.8864907251724816
1.758381941774675,1.8887409606828929,2.522150692108255
1.4483971034577676,2.0261245167454502,2.370883016777606
2.3735372311927856,2.315970345456918,2.7450201107770185
0.4771212547196624,1.7781512503836436,1.380211241711606
4.439253724017898,4.725094521081469,5.091042320183563
0.9691828592322614,1.5987905067631152,1.8071966607109475
1.7116385382323491,2.1245042248342823,2.308735110028761
3.301689622087296,3.724505247609918,3.8967912326115615
1.0685118579306363,2.198767021009409,2.276907646232285
2.117403884416343,2.666892211066536,2.7688230254496435
0.5910646070264992,1.5185139398778875,1.7708520116421442
0.9030899869919436,1.3617278360175928,1.9566485792052035
2.2750117377780112,2.230244499401375,2.6180376316587326
1.3692158574101427,2.369215857410143,3.12548614538646
2.69246795758183,3.423180315104786,3.710665601433604
1.0413926851582251,1.3222192947339193,1.740362689494244
1.3469394626989906,2.547528576459782,2.6571897556208808
1.784189205380961,1.7024305364455252,1.4378298064082191
-1.3151546383555874,-0.8341623753098718,-1.413412695328245
3.311223910432456,3.621321714903541,3.8967912326115615
1.860577551244416,2.3121773564397787,3.1882279882195363
1.05045709478573,1.2375437381428744,1.5750029994335306
1.1095785469043866,1.534026106056135,1.823180687772236
0.5910646070264992,1.2787536009528289,1.591064607026499
1.4831592097169797,1.9365137424788932,2.1112457062718497
0.691435152144062,1.1245042248342825,1.3251255262169308
1.8750612633917,2.3010299956639813,2.9542425094393248
2.105612359686785,2.4255342204982635,2.4188065690947886
0.9030899869919436,1.0791812460476249,1.57978359661681
0.9030899869919436,1.255272505103306,1.3010299956639813
1.4483971034577676,1.91803033678488,2.1242106834362176
1.0272272540672551,1.3839947894417328,2.478375638229726
0.8702751196278944,2.5200903281128424,3.0581146178423806
1.839037873388306,1.7867514221455612,2.456054626514418
1.2143138974243997,1.1360860973840974,2.0077051143647804
1.6989700043360187,1.9208013818256544,2.066959197867122
1.9208013818256544,2.8239109124112995,3.3010299956639813
0.3469394626989905,0.1003705451175628,0.3708830167776059
-0.6126101736612706,-0.8664610916297825,-0.0899094544059318
1.4661258704181992,1.7867514221455612,2.385123455892216
0.775756037844098,1.670245853074124,1.796851749049887
1.1760912590556811,1.380211241711606,1.6232492903979006
2.15454569242091,2.074816440645175,2.3989117403778493
0.9030899869919436,1.5185139398778875,1.919078092376074
1.3234583668494675,1.5563025007672873,1.796851749049887
1.9586241334051049,3.1036872095385024,3.207731419879765
2.4747260421801167,2.678518379040114,2.9331758812340807
0.8692317197309762,1.568201724066995,1.813580988568192
4.182990100710176,4.465363912623141,2.2617385473525378
0.9894498176666918,1.715334683792313,1.4500950758716022
3.1740094256816618,2.2952245869550114,2.540565956956704
1.6334684555795864,1.462397997898956,2.534026106056135
0.5453071164658241,1.2846562827885155,1.4500642628252307
1.7825156214913946,2.6213217149035417,3.6829898193252784
1.6483600109809315,1.255272505103306,1.61066016308988
0.8388490907372553,1.662757831681574,1.9084850188786495
1.706675118700799,2.087781417809542,1.7900123245195816
-1.0,-1.00436480540245,-0.7619538968712046
1.5733358400660675,1.91803033678488,1.954459602411555
2.0026843129897296,2.545307116465824,2.597053140176605
1.255272505103306,1.6532125137753435,1.919078092376074
0.9138138523837168,1.3269499941659988,1.236033147117636
1.1095785469043866,2.1360860973840974,3.1112457062718497
